File,Category,Subcategory,Content
2022-01-01.txt,General humor,Humor based on puns and absurd situations,"t have a complaint about your companys product.
you promised it would make me smarter, but t dont feel any oifferent.
that because you are already a genius that but dont sounds know and right
"
2022-01-02.txt,Corporate mood,Office politics,"i submitted your project timeline to the executive committee.
how could you do that when t havent given it to you

you mean you guessed?
i meant drew! upon my expertence.
nou have literally zero. expertence in this field of engineering.
twas hoping to compensate for that by forcing you to meet the timeline t submitted,
this s the part. where you say im, refreshingly honest
"
2022-01-03.txt,General humor,Comical and paradoxical situations,"im only attracted to men who can be honest all the time
that works for me, in related news, tm only attracted to your looks.
do you need a minute to savor my honesty?
"
2022-01-04.txt,Social criticism,Technology in society,"were getting a lot of anecdotal reports about our plastic packaging maiming customers. ia
, none of our studies shows that to be a risk
have we actually studied it starting to look like we shouldnt. .
"
2022-01-05.txt,General humor,Humor based on puns and absurd situations,"this s bob, from elbonta. t inter. viewed him by phone and liked what heard. this is his
glib noble ug frapatama bing bong bam.
how did you inter ,,, be honest t view a guy honest t who doesnt did nos speak your language talking.
"
2022-01-06.txt,Corporate mood,Corporate hierarchy,"show bob around and then teach him how to do his job
bob doesnt speak our language tm not entirely sure this is even bob.
are you trying to make me fix your hiring im only trying to blame you
"
2022-01-07.txt,Technology and engineering,Technological problems,"ill be taking a few days off, and it need someone to fill in for me. b
wow, im surprised but honored you would come to me.
right s, holj hard would it be for you to program our office robot to fill in for
"
2022-01-08.txt,Recurring characters,The stupid boss,"your idiot boss is on vacation, so he asked me to fill in for him.
ill be using my aovanced circuit to micromanage you at ten times the frequency of a human manager
wouldnt tt be ce work for oa logic! yes, it we
"
2022-01-09.txt,Corporate mood,Group dynamics,"ive noticed a disturbing pattern in the assignments. tgive you
you always say you will take care of something, but then you dont.
then, when t question you about it you say you really will take care of it
a eg d ag
so tm here to tell you it isn optional to do assignments,
you must do what
t will totally, take care of that.
why doesnt this feel like a win?
"
2022-01-10.txt,Recurring characters,The lazy employee,"ted, t need you to help me reach a box on a high
icant reach .... that high. , stand on this unstable office chair all hold it
, in my defense, he never should have trusted me.
"
2022-01-11.txt,Recurring characters,Dilbert and his work adventures,"i heard you murdered ted. .
no, it was all teds fault for standing on an unstable chair to reach a... s
did you tell him you would holo the chair steady? yes, but in my defense, it was boring.
"
2022-01-12.txt,General humor,Humor based on puns and absurd situations,"we had zero covid deaths in our county this
to put that in context, it means. covid killed fewer people than you did for that period
please. dont use me for context. can you recommend another murderer
"
2022-01-13.txt,Corporate mood,Office politics,"our new company policy s that you can take unlimited vacation time
but expect me to judge you behind your backs and in subtle ways, ruin the whole point
then something why are apout we doing excellence. it ne
"
2022-01-14.txt,Recurring characters,Dogbert and other animal characters,"hello. this is dogberts teach support
my motto ts the customer is always right
okay.... can you help me fix my computer? fix it yourself. your the one who always .
"
2022-01-15.txt,Corporate mood,Office politics,"the new human resources policy requires each of you to eat the contents of your recalling bins every day,
that out rageous!
who makes the rules? t dont know. they just sort of show up,
"
2022-01-16.txt,General humor,Humor based on puns and absurd situations,"thavent lost a oebate since t learned to treaty everything as a personal insult
tdoubt that method works every time
are you
what? no! tm just skeptical tt works in every situation.
what data you have to back up that opinion
tdont have any data. i just think its kind of... um. . obvious?


"
2022-01-17.txt,Technology and engineering,Technologic innovations,"robert the futurist need fiveyear technology forecast
in five years, at will reach what experts call the singularity, and you will be dead.
there is also the matter of my payment. all email you the invoice.
"
2022-01-18.txt,General humor,Humor based on puns and absurd situations,"robert the futurist tm trending on twitter because t preoict doom about every
im taking my act to the podcast circuit to see if i can scare up a book deal.
next question, will crime go up or youll be lucky to make it home tonight fully clothed.
"
2022-01-19.txt,General humor,Comical and paradoxical situations,"robert the futurist lget the most attention when i predict
but t have to keep pushing the envelope to be scarier than the competition.
dio you just say polar bears are enriching uranium? and theyre super angry.
"
2022-01-20.txt,General humor,Comical and paradoxical situations,"robert the futurist what do you predict will happen with bitcoin?
t think chemtrails will degrade the blockchain until all of your money is accidentally transferred to terrorists.
to that even... possible?
"
2022-01-21.txt,General humor,Comical and paradoxical situations,"robert the futurist im getting a lot of interview requests now because i only predict doom.
maybe you shouldnt. scare the public. hey, you dont see me inter firing with your hobbies.
would i dont . you like have any some? i unethical can get hobbies. you ..
"
2022-01-22.txt,General humor,Comical and paradoxical situations,"robert the futurist . the been named futurist of the year because t make the scariest predictions.
test me. name any topics and ill make the scartest prediction youve ever heard. ss

"
2022-01-23.txt,General humor,Comical and paradoxical situations,"after all ive done. for you t would think you could do one small thing for mel
you dont do anything for f me.
g o r
have you ever been killed by a polsonous spider?

maybe you could tell me exactly how you stopped me from being killed by poisonous spiders.
maybe you could show more gratitude and less attitude
okay, t give ue, tul make the popcorn. etnally!
"
2022-01-24.txt,General humor,Comical and paradoxical situations,"i got you a desk chair for your
wow! that perfect timing because someone stole my chair this morning x
your welcome,
"
2022-01-25.txt,Corporate mood,Group dynamics,"texpected more from you on this project
there were no standards for success. your comparing me to the imaginary.
and your losing, badly! t dont think we . are on the same ., potn it
"
2022-01-26.txt,General humor,Humor based on puns and absurd situations,"sorry tm late. t was working harder than a oneeyed beaver in a knitting contest
darn it t want to be mad at you for your hardness but your folksy charm makes it impossible!
you look like a turnip turnip puck its working stop it
"
2022-01-27.txt,General humor,Comical and paradoxical situations,"gaaaul stop sneaking up on me!
. yes, ug this because is my . you sneak fault up on people ry v
are you cuys.. talking about? gaaari!! , !
"
2022-01-28.txt,Corporate mood,Group dynamics,"go ask tina when her first draft will be done. t can do that.
tina screams in surprise whenever get near her because she thinks tm sneaking up on her j o
then she teaches me about the flaws in my walking around skills,
"
2022-01-29.txt,Corporate mood,Group dynamics,"i thought you were supposed to be on a room call now.
lamp but two of the participants cant stop trying to talk at the same time want to come watch?
but i... . ast. thats... sorry...
"
2022-01-30.txt,Corporate mood,Office politics,"i finished the project twenty percent under, budget,
o l e a t p o i n t i n g .
f id hoped you would


tguess im just disappointed in you
that reminds me its almost time for your annual performance review
did you find a way to cut the salary budget? tm still priming the pump
"
